"Index","Entry Date","Entry Time","Exit Date","Exit Time","Type","Strike","B/S","Qty","Entry Price","Exit Price","Vix","P/L"
"64.2","2020-04-30"," 9:17:00 AM","2020-04-30"," 3:15:00 PM","PE","9700","Sell","25","34.15","0.20","","848.75"
"65","2020-05-07"," 9:17:00 AM","2020-05-07"," 3:15:00 PM","","","","","","","41.65","778.75"
"65.1","2020-05-07"," 9:17:00 AM","2020-05-07"," 9:23:00 AM","PE","9200","Buy","25","68.20","54.55","","-341.25"
"65.2","2020-05-07"," 9:17:00 AM","2020-05-07"," 3:15:00 PM","PE","9150","Sell","25","45.00","0.20","","1120.00"
"66","2020-05-14"," 9:17:00 AM","2020-05-14"," 2:16:00 PM","","","","","","","37.79","-248.75"
"66.1","2020-05-14"," 9:17:00 AM","2020-05-14"," 9:18:00 AM","PE","9200","Buy","25","37.95","30.35","","-190.00"
"66.2","2020-05-14"," 9:17:00 AM","2020-05-14"," 2:16:00 PM","PE","9150","Sell","25","25.25","27.60","","-58.75"
"67","2020-05-21"," 9:17:00 AM","2020-05-21"," 3:15:00 PM","","","","","","","34.19","307.50"
"67.1","2020-05-21"," 9:17:00 AM","2020-05-21"," 9:18:00 AM","PE","9100","Buy","25","41.80","33.45","","-208.75"
"67.2","2020-05-21"," 9:17:00 AM","2020-05-21"," 3:15:00 PM","PE","9050","Sell","25","20.70","0.05","","516.25"
"68","2020-05-28"," 9:17:00 AM","2020-05-28"," 3:15:00 PM","","","","","","","30.76","193.75"
"68.1","2020-05-28"," 9:17:00 AM","2020-05-28"," 9:32:00 AM","PE","9350","Buy","25","32.00","25.60","","-160.00"
"68.2","2020-05-28"," 9:17:00 AM","2020-05-28"," 3:15:00 PM","PE","9300","Sell","25","14.20","0.05","","353.75"
"69","2020-06-04"," 9:17:00 AM","2020-06-04"," 9:32:00 AM","","","","","","","29.72","-370.00"
"69.1","2020-06-04"," 9:17:00 AM","2020-06-04"," 9:20:00 AM","PE","10100","Buy","25","53.70","42.95","","-268.75"
"69.2","2020-06-04"," 9:17:00 AM","2020-06-04"," 9:32:00 AM","PE","10050","Sell","25","30.90","34.95","","-101.25"
"70","2020-06-11"," 9:17:00 AM","2020-06-11"," 11:11:00 AM","","","","","","","29.29","-295.00"
"70.1","2020-06-11"," 9:17:00 AM","2020-06-11"," 9:25:00 AM","PE","10050","Buy","25","53.60","42.90","","-267.50"
"70.2","2020-06-11"," 9:17:00 AM","2020-06-11"," 11:11:00 AM","PE","10000","Sell","25","30.85","31.95","","-27.50"
"71","2020-06-18"," 9:17:00 AM","2020-06-18"," 9:55:00 AM","","","","","","","33.18","-370.00"
"71.1","2020-06-18"," 9:17:00 AM","2020-06-18"," 9:55:00 AM","PE","9900","Buy","25","67.95","61.55","","-160.00"
"71.2","2020-06-18"," 9:17:00 AM","2020-06-18"," 9:19:00 AM","PE","9850","Sell","25","42.00","50.40","","-210.00"
"72","2020-06-25"," 9:17:00 AM","2020-06-25"," 9:31:00 AM","","","","","","","30.32","-278.75"
