"Index","Entry Date","Entry Time","Exit Date","Exit Time","Type","Strike","B/S","Qty","Entry Price","Exit Price","Vix","P/L"
"29.1","2019-08-29"," 9:17:00 AM","2019-08-29"," 9:18:00 AM","CE","11200","Buy","25","0.70","0.55","","-3.75"
"29.2","2019-08-29"," 9:17:00 AM","2019-08-29"," 9:20:00 AM","PE","10800","Buy","25","0.85","0.70","","-3.75"
"29.3","2019-08-29"," 9:17:00 AM","2019-08-29"," 12:32:00 PM","CE","11100","Sell","25","5.40","1.00","","110.00"
"29.4","2019-08-29"," 9:17:00 AM","2019-08-29"," 12:32:00 PM","PE","10900","Sell","25","8.90","19.45","","-263.75"
"30","2019-09-05"," 9:17:00 AM","2019-09-05"," 12:12:00 PM","","","","","","","16.68","-165.00"
"30.1","2019-09-05"," 9:17:00 AM","2019-09-05"," 9:18:00 AM","CE","11100","Buy","25","0.20","0.15","","-1.25"
"30.2","2019-09-05"," 9:17:00 AM","2019-09-05"," 9:19:00 AM","PE","10700","Buy","25","1.20","0.95","","-6.25"
"30.3","2019-09-05"," 9:17:00 AM","2019-09-05"," 12:12:00 PM","CE","11000","Sell","25","4.10","0.70","","85.00"
"30.4","2019-09-05"," 9:17:00 AM","2019-09-05"," 12:12:00 PM","PE","10800","Sell","25","8.75","18.45","","-242.50"
"31","2019-09-12"," 9:17:00 AM","2019-09-12"," 12:49:00 PM","","","","","","","14.95","96.25"
"31.1","2019-09-12"," 9:17:00 AM","2019-09-12"," 9:18:00 AM","CE","11250","Buy","25","0.05","0.05","","0.00"
"31.2","2019-09-12"," 9:17:00 AM","2019-09-12"," 9:22:00 AM","PE","10850","Buy","25","0.35","0.30","","-1.25"
"31.3","2019-09-12"," 9:17:00 AM","2019-09-12"," 12:49:00 PM","CE","11150","Sell","25","3.45","0.70","","68.75"
"31.4","2019-09-12"," 9:17:00 AM","2019-09-12"," 12:49:00 PM","PE","10950","Sell","25","2.35","1.20","","28.75"
"32","2019-09-19"," 9:17:00 AM","2019-09-19"," 10:44:00 AM","","","","","","","15.44","-110.00"
"32.1","2019-09-19"," 9:17:00 AM","2019-09-19"," 9:33:00 AM","CE","11000","Buy","25","0.45","0.35","","-2.50"
"32.2","2019-09-19"," 9:17:00 AM","2019-09-19"," 9:18:00 AM","PE","10600","Buy","25","0.35","0.30","","-1.25"
"32.3","2019-09-19"," 9:17:00 AM","2019-09-19"," 10:44:00 AM","CE","10900","Sell","25","4.45","0.80","","91.25"
"32.4","2019-09-19"," 9:17:00 AM","2019-09-19"," 10:44:00 AM","PE","10700","Sell","25","4.15","12.05","","-197.50"
"33","2019-09-26"," 9:17:00 AM","2019-09-26"," 9:46:00 AM","","","","","","","15.95","-207.50"
"33.1","2019-09-26"," 9:17:00 AM","2019-09-26"," 9:19:00 AM","CE","11700","Buy","25","0.70","0.55","","-3.75"
"33.2","2019-09-26"," 9:17:00 AM","2019-09-26"," 9:22:00 AM","PE","11300","Buy","25","1.40","1.10","","-7.50"
"33.3","2019-09-26"," 9:17:00 AM","2019-09-26"," 9:46:00 AM","CE","11600","Sell","25","4.80","19.90","","-377.50"
"33.4","2019-09-26"," 9:17:00 AM","2019-09-26"," 9:46:00 AM","PE","11400","Sell","25","9.70","2.45","","181.25"
"34","2019-10-03"," 9:17:00 AM","2019-10-03"," 11:38:00 AM","","","","","","","17.72","358.75"
"34.1","2019-10-03"," 9:17:00 AM","2019-10-03"," 9:26:00 AM","CE","11500","Buy","25","1.90","1.50","","-10.00"
"34.2","2019-10-03"," 9:17:00 AM","2019-10-03"," 9:23:00 AM","PE","11100","Buy","25","7.20","5.75","","-36.25"
"34.3","2019-10-03"," 9:17:00 AM","2019-10-03"," 11:38:00 AM","CE","11400","Sell","25","9.25","8.30","","23.75"
"34.4","2019-10-03"," 9:17:00 AM","2019-10-03"," 11:38:00 AM","PE","11200","Sell","25","20.15","4.90","","381.25"
"35","2019-10-10"," 9:17:00 AM","2019-10-10"," 11:35:00 AM","","","","","","","17.02","-148.75"
